"city,strength,lat,long"
"Kaunas,422000,54.89821,23.90448"
"Vilnius,340000,54.68705,25.28291"
"????????,280000,55.14092,27.68792"
"???????,210000,55.19302,30.20704"
"????????,145000,54.77897,32.04718"
"??????????,140000,54.91482,33.29891"
"????????,127100,55.55331,34.99684"
"????????,100000,55.01640,36.03347"
"Moscow,100000,55.75045,37.61749"
"Moscow,100000,55.85,37.67"
"??????????????,98000,55.01218,36.45902"
"????????,87000,55.50164,36.03347"
"???????,55000,55.21036,34.29952"
"??????????,37000,54.91,33.29"
"????????,24000,54.75,32.1"
"?????,20000,54.51190,30.42545"
"????,50000,54.31991,29.26345"
"????????,28000,54.22407,28.51178"
"??????????,12000,54.30733,26.83891"
"????????,14000,54.6,26.5"
"Vilnius,8000,55,25.4"
